00001 , 'Yoga Mat' , 'Flexibility Training' , 11.9 , 27.0
00002 , 'Jump Rope' , 'Cardio' , 3.3 , NULL
00003 , 'Weightlift' , 'Cardio' , 17.3 , NULL
00004 , 'Medicine Ball' , 'General Fitness' , NULL , NULL
00005 , 'Yoga Mat' , 'General Fitness' , 19.5 , 2.1
00006 , 'Yoga Mat' , 'Strength Training' , NULL , 6.9
00007 , 'Resistance Band' , 'Cardio' , NULL , NULL
00008 , 'Medicine Ball' , 'Cardio' , 15.2 , NULL
00009 , 'Dumbbell' , 'General Fitness' , NULL , 37.0
00010 , 'Jump Rope' , 'Strength Training' , NULL , 5.1
00011 , 'Resistance Band' , 'Flexibility Training' , NULL , 18.1
00012 , 'Resistance Band' , 'General Fitness' , NULL , 40.1
00013 , 'Medicine Ball' , 'Cardio' , 13.9 , 29.9
00014 , 'Exercise Ball' , 'Strength Training' , 16.5 , NULL
00015 , 'Dumbbell' , 'Strength Training' , 15.7 , NULL
00016 , 'Dumbbell' , 'General Fitness' , 17.2 , NULL
00017 , 'Weightlift' , 'General Fitness' , 14.7 , NULL
00018 , 'Yoga Mat' , 'Strength Training' , NULL , NULL
00019 , 'Yoga Mat' , 'Cardio' , NULL , NULL
00020 , 'Medicine Ball' , 'General Fitness' , NULL , NULL
00021 , 'Pull-up Bar' , 'Strength Training' , 4.6 , NULL
00022 , 'Rope' , 'Cardio' , NULL , NULL
00023 , 'Rope' , 'Cardio' , NULL , 16.4
00024 , 'Pull-up Bar' , 'Strength Training' , 12.3 , NULL
00025 , 'Pull-up Bar' , 'Flexibility Training' , NULL , NULL
00026 , 'Resistance Band' , 'Flexibility Training' , 12.4 , 18.4
00027 , 'Jump Rope' , 'Strength Training' , 17.8 , NULL
00028 , 'Rope' , 'Flexibility Training' , 9.3 , NULL
00029 , 'Medicine Ball' , 'Flexibility Training' , 16.1 , NULL
00030 , 'Yoga Mat' , 'Climbing' , 2.1 , 2.5
00031 , 'Kettlebell' , 'Cardio' , 9.3 , 46.1
00032 , 'Dumbbell' , 'Cardio' , NULL , 24.5
00033 , 'Yoga Mat' , 'Strength Training' , 13.3 , 18.1
00034 , 'Exercise Ball' , 'Cardio' , 16.4 , 42.1
00035 , 'Weightlift' , 'General Fitness' , 15.6 , 4.0
00036 , 'Rope' , 'Flexibility Training' , NULL , 15.0
00037 , 'Yoga Mat' , 'General Fitness' , 13.7 , NULL
00038 , 'Exercise Ball' , 'Cardio' , NULL , 39.9
00039 , 'Dumbbell' , 'General Fitness' , NULL , NULL
00040 , 'Resistance Band' , 'Flexibility Training' , NULL , 8.7
00041 , 'Resistance Band' , 'General Fitness' , NULL , 5.1
00042 , 'Yoga Mat' , 'Strength Training' , NULL , 37.7
00043 , 'Jump Rope' , 'Cardio' , 3.9 , 9.8
00044 , 'Kettlebell' , 'Strength Training' , NULL , 12.6
00045 , 'Medicine Ball' , 'Flexibility Training' , NULL , 17.4
00046 , 'Yoga Mat' , 'General Fitness' , 3.7 , NULL
00047 , 'Weightlift' , 'Cardio' , 2.8 , NULL
00048 , 'Kettlebell' , 'Strength Training' , 6.9 , NULL
00049 , 'Pull-up Bar' , 'Cardio' , NULL , NULL
00050 , 'Pull-up Bar' , 'General Fitness' , NULL , NULL
00051 , 'Jump Rope' , 'Strength Training' , 2.3 , NULL
00052 , 'Rope' , 'Cardio' , 11.2 , NULL
00053 , 'Rope' , 'Cardio' , 3.6 , NULL
00054 , 'Rope' , 'Climbing' , 11.3 , 45.2
00055 , 'Exercise Ball' , 'Cardio' , 18.5 , NULL
00056 , 'Kettlebell' , 'Strength Training' , NULL , 43.6
00057 , 'Jump Rope' , 'Flexibility Training' , NULL , 28.5
00058 , 'Yoga Mat' , 'Climbing' , NULL , 33.4
00059 , 'Yoga Mat' , 'Cardio' , 19.9 , NULL
00060 , 'Resistance Band' , 'Strength Training' , 16.5 , NULL
00061 , 'Weightlift' , 'Climbing' , NULL , 44.2
00062 , 'Pull-up Bar' , 'Climbing' , NULL , NULL
00063 , 'Pull-up Bar' , 'Climbing' , NULL , 49.2
00064 , 'Dumbbell' , 'Strength Training' , 19.4 , NULL
00065 , 'Resistance Band' , 'General Fitness' , NULL , 19.7
00066 , 'Medicine Ball' , 'Climbing' , 17.2 , NULL
00067 , 'Resistance Band' , 'General Fitness' , 12.7 , NULL
00068 , 'Medicine Ball' , 'General Fitness' , 18.2 , NULL
00069 , 'Dumbbell' , 'General Fitness' , NULL , 41.0
00070 , 'Dumbbell' , 'Strength Training' , 7.5 , NULL
00071 , 'Resistance Band' , 'Climbing' , 1.9 , 11.3
00072 , 'Rope' , 'Strength Training' , NULL , NULL
00073 , 'Dumbbell' , 'Strength Training' , NULL , NULL
00074 , 'Medicine Ball' , 'Climbing' , 19.7 , 35.0
00075 , 'Jump Rope' , 'Cardio' , NULL , NULL
00076 , 'Exercise Ball' , 'Strength Training' , 5.5 , NULL
00077 , 'Pull-up Bar' , 'Flexibility Training' , NULL , 20.8
00078 , 'Yoga Mat' , 'Cardio' , NULL , 37.0
00079 , 'Resistance Band' , 'Flexibility Training' , 4.4 , NULL
00080 , 'Jump Rope' , 'Cardio' , NULL , 13.5
00081 , 'Pull-up Bar' , 'Cardio' , NULL , NULL
00082 , 'Yoga Mat' , 'Flexibility Training' , NULL , 6.0
00083 , 'Resistance Band' , 'Strength Training' , NULL , 38.4
00084 , 'Dumbbell' , 'Flexibility Training' , NULL , NULL
00085 , 'Jump Rope' , 'Strength Training' , 9.9 , NULL
00086 , 'Rope' , 'Strength Training' , 12.9 , NULL
00087 , 'Medicine Ball' , 'General Fitness' , 16.5 , 43.8
00088 , 'Yoga Mat' , 'General Fitness' , NULL , 25.4
00089 , 'Yoga Mat' , 'Flexibility Training' , 16.7 , 29.7
00090 , 'Yoga Mat' , 'General Fitness' , NULL , NULL
00091 , 'Exercise Ball' , 'General Fitness' , NULL , NULL
00092 , 'Yoga Mat' , 'General Fitness' , 2.5 , NULL
00093 , 'Kettlebell' , 'Strength Training' , NULL , NULL
00094 , 'Dumbbell' , 'Strength Training' , 13.1 , NULL
00095 , 'Resistance Band' , 'Flexibility Training' , NULL , 25.2
00096 , 'Medicine Ball' , 'Climbing' , 2.9 , 34.9
00097 , 'Rope' , 'Flexibility Training' , 17.8 , NULL
00098 , 'Exercise Ball' , 'General Fitness' , 4.8 , NULL
00099 , 'Jump Rope' , 'General Fitness' , NULL , 5.1
00100 , 'Dumbbell' , 'Strength Training' , NULL , 38.0
00101 , 'Dumbbell' , 'Climbing' , 7.2 , 35.4
00102 , 'Pull-up Bar' , 'Climbing' , NULL , NULL
00103 , 'Yoga Mat' , 'Flexibility Training' , NULL , 26.5
00104 , 'Kettlebell' , 'Climbing' , NULL , NULL
00105 , 'Jump Rope' , 'Flexibility Training' , NULL , NULL
00106 , 'Dumbbell' , 'Climbing' , NULL , NULL
00107 , 'Pull-up Bar' , 'Flexibility Training' , NULL , NULL
00108 , 'Yoga Mat' , 'Climbing' , 8.5 , NULL
